input,output,choices,dataset_name,id
"in a normal screen process , these bromides would be barely enough to sustain an interstitial program on the discovery channel . but in imax 3-d , the clichés disappear into the vertiginous perspectives opened up by the photography . What sentiment does the writer express for the movie?",positive,negative|||positive,rotten_tomatoes,96.0
"The U.S. Supreme Court plunged into the politically messy issue of redrawing congressional and legislative districts Tuesday, in a case that could have profound implications for both major political parties for years to come.
The high court heard oral arguments in a case brought by Democratic voters in Wisconsin. They argued that a Republican redistricting plan for the state assembly was so overtly partisan that it violated constitutional protections of freedom of speech and equal protection under the law for Wisconsin voters.
A lower federal court sided with the challengers last year and against Republican state officials in Wisconsin. Officials argued Tuesday that they had not violated any constitutional rights when they drew up new boundaries for state assembly districts. ""Our legislature followed traditional redistricting criteria, which is what they have been required to do and we think they followed that and that the justices will agree,"" Wisconsin Attorney General Brad Schimel told reporters in front of the court following the oral arguments.
The process of state legislatures redrawing congressional and legislative district boundaries has been enmeshed in politics for two centuries. Early on, the process was referred to as “gerrymandering,” where one party or the other tries to gain an electoral advantage by redrawing district boundaries to maximize their voting clout.
Republicans have had success in several states in redrawing congressional and legislative voting districts and that has helped them maintain their majority in the House of Representatives. Democrats have come under fire as well for partisan maps in states where they control the legislature, like Maryland and Massachusetts.
During Tuesday’s oral arguments, the more liberal high court justices seemed open to the case brought by Democratic voters. Justice Ruth Bader Ginsburg said a ruling in favor of the Republican districting plan in Wisconsin would encourage others to stack the deck against their political opponents. “What becomes of the...
What cases are probably referred to the supreme court
Pick the correct answer from the following options:
- Only cases involving the legislature
- Only cases that are not traditional
- Difficult and important ones
- not enough information",Difficult and important ones,Only cases involving the legislature|||Only cases that are not traditional|||Difficult and important ones|||not enough information,quail,9126.0
"What raw material is consumed by chloroplast

Choices:
- flour
- stone
- CO2
- lava",CO2,flour|||stone|||CO2|||lava,openbookqa,3282.0
"In 2 or 3 sentences, what are the main points one should remember from this news article?

Article: ALPHARETTA, Georgia (CNN) -- Latin music pulses from the stereo as 40 women jump, shimmy and sway to the beat. Zumba is the most popular exercise class at one suburban Atlanta YMCA. It's not a dance club. This is a regular morning exercise class at the YMCA in Alpharetta, Georgia. It's called Zumba. Part dance, part aerobics, Zumba is an hourlong routine that works almost every muscle in the body. ""It is dance fitness,"" explained Stephanie Maxim, one of two class instructors. ""We teach them moves that you can see on 'Dancing with the Stars': salsa, mambo, cha-cha, and we put it into a group fitness format."" ""It's not like a workout,"" explained Diane Walterstiel, 55, of Alpharetta. ""Before I come, I'm tense, but when I leave, I could kiss the world."" Nearly a year after being introduced at the YMCA in suburban Atlanta, Zumba is the most popular exercise offering at the facility. Alberto Perlman, co-founder and CEO of Zumba Fitness in Hollywood, Florida, wasn't surprised when the concept took off not just in the United States but around the world. ""We turned exercise into a party,"" Perlman declared. ""Zumba broke some of the rules of fitness. We used music in the original form instead of using step counts."" Perlman, whose background is in marketing, teamed up with Colombian dancer and choreographer Alberto ""Beto"" Perez in Miami in 2001. ""One day, Beto forgot his aerobics tapes, so he played his salsa and meringue songs during class in their original form,"" Perlman said. ""People went crazy. They didn't feel like they were in a class with a drill sergeant."" Perlman said Perez decided to call the exercise Zumba, after the Colombian slang word meaning to buzz like a bee or move fast. Zumba is now a brand name. Since 2003, Perlman's group has trained 20,000 instructors around the world and sold more than 3 million DVDs on the Internet and through infomercials, he said. Heather Bleakman teamed up with Maxim to teach the Georgia YMCA session. She called the class a form of therapy. ""We see women change,"" she said. ""We...","Set to original-form music, Zumba classes combine dancing and aerobics .
Since 2003, more than 20,000 instructors have been trained worldwide .
Zumba adherents rave about its physical and psychological benefits .",,cnn_daily_mail,20561.0
"- image is riley rossmo.jpg



- subcat is canadian



- ink is y



- website is http://rileyrossmo.com/



- nationality is canadian



- sortkey is rossmo , riley



- nonus is y



- caption is rossmo in 2012



- pencil is y





Given the details above, guess who could this information be about.",riley rossmo,,wiki_bio,25828.0
"Background: Astronomy is very sensitive to light pollution. The night sky viewed from a city bears no resemblance to what can be seen from dark skies.[78] Skyglow (the scattering of light in the atmosphere at night) reduces the contrast between stars and galaxies and the sky itself, making it much harder to see fainter objects. This is one factor that has caused newer telescopes to be built in increasingly remote areas.

Paragraph: Whenever Bill visited Tim's house, they couldn't see that many stars when stargazing . Tim lived in the city. The sky was much clearer at night at Bill's place, because he lived in a rural area.

Given the paragraph above, please answer correctly the following question: Where do they experience increased contrast between starts and galaxies and the sky itself, at Tim's or at Bill's?",at Bill's,,ropes,7246.0
"Given a PubMed abstract:It is generally assumed, that patients with Werlhof's disease (WD) are at increased risk for bleeding complications when undergoing cardiac surgery with extracorporeal circulation. Therefore we performed this case control study to estimate the real risk for bleeding complications of these patients., Between 05/95 and 07/98, ten patients with WD (eight males, two females) underwent cardiac surgery employing extracorporeal circulation (WD-group). Five of these patients with platelet counts below 80/nl were treated by immunoglobulins preoperatively. Each patient with WD was matched to five patients without WD (no-WD-group) using diagnosis, age, gender, ejection fraction, number of distal anastomosis and body-mass-index as matching criteria., Mean number of platelet counts were significant lower in the WD-group than in the no-WD-group despite a significant increase of platelet counts after immunoglobulin treatment (54/nl-->112/nl, P=0.018). On the day before, directly after and on the first day after surgery they were 141/nl vs. 215/nl (P=0.012), 75/nl vs. 147/nl (P=0.001) and 93/nl vs. 136/nl (P=0.009). Accordingly, patients of the WD-group received significantly more platelet concentrates than patients of the no-WD-group (mean number of platelet concentrates: 2.3 versus 0.7, P=0.007). Total drainage loss via the mediastinal chest tubes was almost identical (1197 ml in the no-WD-group and 1140 ml in the WD-group). One patient of each group suffered from a bleeding complication requiring reexploration. Three patients of the no-WD-group (6%) and one patient of the WD-group (10%) expired postoperatively unrelated to WD.

What are the MeSH (Medical Subject Headings) terms for this?","Adult, Aged, Blood Loss, Surgical, Blood Transfusion, Cardiopulmonary Bypass, Coronary Artery Bypass, Coronary Disease, Female, Humans, Immunoglobulins, Male, Middle Aged, Platelet Count, Postoperative Hemorrhage, Prognosis, Purpura, Thrombocytopenic, Idiopathic, Retrospective Studies, Risk Factors, Splenectomy",,pubmed_qa,737.0
"What key details about dragoslav Čakić
 can be extracted from the following bio?

Bio: dragoslav ` drago ' Čakić -lrb- born 15 february 1965 in split , croatia , socialist federal republic of yugoslavia -rrb- is a croatian retired footballer who played as a midfielder .","- fullname is dragoslav Čakić



- years is 1986 1994 -- 1995 1995 -- 1996 1996 -- 1997 1997 -- -- 1998 1998 -- 1999 1987 1987 -- 1988 1988 -- 1991



- name is drago Čakić



- position is midfielder



- height is 1.84



- birth place is split , sfr yugoslavia



- clubs is hajduk xerez tortosa split burgos xerez jerez industrial san fernando ourense



- caps is 52 7 10 61 33 25



- birth date is 15 february 1965





- goals is 6 0 0 5 3 0",,wiki_bio,48969.0
"John works for the NSF. He has two research proposals in front of him, case A and case B. Both are looking for further funding. Case A research has been replicated by other researchers, but case B research could not be replicated by others. He needs to decide which research should get further funding.

For which reasearch John should not offer funding, case A or case B?

Hint: Soon after the original study was published, other researchers tried to replicate the research. However, it could not be replicated. No other studies could find a link between the vaccine and autism. As a result, scientists became convinced that the original results were incorrect. Eventually, investigators determined that the original study was a fraud. They learned that its author had received a large amount of money to find evidence that the vaccine causes autism, so he faked his research results. If other scientists had not tried to replicate the research, the truth might never have come out. You can read more about this case at the URL below.",case B,,ropes,9631.0
"Does the sentence
Microsoft this week released a critical update to fix a bug with its newly released Office 2003 suite .
paraphrase (that is, mean the same thing as) this sentence?
Microsoft has released a critical update for its newly released office suite , Office 2003 .",yes,no|||yes,mrpc,2371.0
